Фича,ID,Описание,Роль,Раздел,Приоритет,Группа источника требований,Источник требований,Статус,Комментарий
Редирект на страницу логина,FR-001,Неаутентифицированный пользователь при открытии любой страницы сайта редиректится на страницу входа (ввода логина).,Не определена,Аутентификация,Обязательно,Конечные пользователи,Заказчик,Утвержденный,"Неаутентифицированным считается пользователь, для которого нет сохраненного логина в Local Storage с пометкой, является ли он сотрудником или менеджером."
Логин,FR-002,"Неаутентифицированный пользователь может аутентифицироваться на странице логина, введя соответствующий login, который можно отправить кнопкой ""Войти как сотрудник"" или кнопкой ""Войти как менеджер""",Не определена,Аутентификация,Обязательно,Конечные пользователи,Заказчик,Утвержденный,"Неаутентифицированным считается пользователь, для которого нет сохраненного логина в Local Storage с пометкой, является ли он сотрудником или менеджером. Для API неаутентифицированным является пользователь, который не отправляет один из слудующих заголовков: X-Manager-Login, X-Employee-Login"
Редирект после логина,FR-003,После ввода логина пользователь редиректится на страницу с бронированием парковочного места,Не определена,Аутентификация,Обязательно,Конечные пользователи,Заказчик,Утвержденный,
Редирект после логина на целевую страницу,FR-004,"После ввода логина пользователь редиректится на страницу, которую он запрашивал перед редиректом на страницу логина",Не определена,Аутентификация,Возможно,Конечные пользователи,Заказчик,Утвержденный,
Редирект со страницы логина,FR-005,Аутентифицированный пользователь при переходе на страницу логина редиректится на страницу с бронированием парковочного места,"Сотрудник, Менеджер",Бронирование,Желательно,Конечные пользователи,Заказчик,Утвержденный,"Аутентифицированным считается пользователь, для которого есть сохраненный логин в Local Storage с пометкой, является ли он сотрудником или менеджером"
Логаут,FR-006,Аутентифицированный пользователь может выйти из системы с последующим редиректом на страницу логина,"Сотрудник, Менеджер",Бронирование,Желательно,Конечные пользователи,Заказчик,Утвержденный,Выход из системы влечет за собой удаление заголовков логина из Local Storage и оставляет пользователю возможность заново залогинеться в системе
Страница бронирования,FR-007,На странице бронирования парковочного места пользователь видит схему парковки и доступные парковочные места на завтра с возможность выбрать другую дату не раньше завтрашней,"Сотрудник, Менеджер",Бронирование,Обязательно,Конечные пользователи,Заказчик,Утвержденный,
Бронирование,FR-008,"Пользователь может забронировать парковочное место из списка доступных, передав номер автомобиля при выборе парковочного места, если на момент бронирования на балансе > 0 дней","Сотрудник, Менеджер",Бронирование,Обязательно,Конечные пользователи,Заказчик,Утвержденный,
Состояние гонки при бронировании,FR-009,Одно парковочное место нельзя забронировать дважды (одним пользователем или разынми),"Сотрудник, Менеджер",Бронирование,Обязательно,Конечные пользователи,Заказчик,Утвержденный,
Одно бронирование на день,FR-010,Пользователь может забронировать только одно парковочное место на определенный день,"Сотрудник, Менеджер",Бронирование,Желательно,Конечные пользователи,Заказчик,Утвержденный,
